detener;2.0000;3.0000;2.4000;0.0000;0.0000;0.8944
ayudar;2.6000;3.0000;2.6000;0.5477;0.0000;0.8944
leer;2.8000;2.6000;2.8000;0.4472;0.8944;0.4472
anterior;2.2000;1.8000;1.6000;0.4472;0.4472;0.8944
largo;1.8000;2.0000;2.4000;0.4472;0.7071;0.8944
acompañar;2.8000;3.0000;2.4000;0.4472;0.0000;0.8944
abandonar;1.2000;2.8000;2.0000;0.4472;0.4472;1.0000
distinto;2.2000;2.2000;2.2000;0.4472;0.4472;1.0954
social;2.4000;2.0000;2.0000;0.5477;0.7071;1.0000
titulo;1.8000;2.0000;2.6000;0.4472;0.0000;0.8944
origen;2.2000;1.8000;1.8000;0.4472;0.4472;0.8367
desarrollar;2.2000;3.0000;2.4000;0.4472;0.0000;0.8944
actual;2.0000;1.8000;2.2000;0.0000;0.4472;0.8367
bello;2.8000;1.6000;2.6000;0.4472;0.8944;0.8944
mayoria;1.8000;2.0000;2.4000;0.4472;0.7071;0.8944
dedicar;2.4000;2.8000;2.6000;0.5477;0.4472;0.8944
area;2.2000;1.4000;2.6000;0.4472;0.5477;0.8944
chico;1.8000;1.6000;3.0000;0.4472;0.5477;0.0000
importar;2.4000;2.4000;2.6000;0.5477;0.8944;0.8944
clase;2.4000;2.2000;2.6000;0.5477;0.4472;0.8944
politico;1.8000;2.4000;1.6000;0.4472;0.5477;0.8944
internacional;2.2000;1.8000;2.0000;0.4472;0.4472;1.0000
especial;2.6000;1.8000;2.4000;0.5477;0.8367;0.8944
sentimiento;2.4000;2.0000;2.2000;0.5477;1.0000;0.8367
alto;2.2000;1.8000;2.6000;0.4472;0.8367;0.8944
nivel;2.2000;2.2000;2.4000;0.4472;0.4472;0.8944
arbol;2.6000;1.6000;3.0000;0.5477;0.5477;0.0000
disco;2.4000;2.0000;3.0000;0.5477;0.7071;0.0000
pensamiento;2.6000;2.4000;2.0000;0.5477;0.8944;1.0000
cama;2.6000;1.8000;3.0000;0.5477;0.8367;0.0000
extraño;2.2000;1.8000;2.2000;0.4472;0.8367;0.8367
reconocer;2.4000;3.0000;2.2000;0.5477;0.0000;0.8367
sufrir;1.4000;2.6000;2.6000;0.8944;0.8944;0.8944
superficie;2.2000;1.6000;2.6000;0.4472;0.5477;0.8944
actividad;2.6000;2.8000;2.4000;0.5477;0.4472;0.8944
programa;2.0000;2.6000;2.2000;0.0000;0.5477;0.8367
edificio;2.0000;1.2000;3.0000;0.0000;0.4472;0.0000
responder;2.4286;2.5714;2.2857;0.5345;0.5345;0.7559
comer;2.4000;3.0000;2.6000;0.5477;0.0000;0.8944
representar;2.4000;2.8000;2.4000;0.5477;0.4472;0.8944
iniciar;2.6000;3.0000;2.4000;0.5477;0.0000;0.8944
establecer;2.1667;2.8333;1.5000;0.4082;0.4082;0.8367
